,publish_time,title,channel_name,tags_count,views_count,likes_count,dislikes_count,comments_count,duration_sec,published_date,published_time_UTC,subscribers
107,2020-08-14T10:03:28Z,chill and nudisco,;D LUV MUZIK,10,108887,3805,12,326.0,1258,2020-08-14,10:03:28,36300.0
108,2020-01-11T00:00:13Z,✨✨🌷✨✨✨🌷𝙙𝙮𝙣𝙖𝙢𝙞𝙘 𝙖𝙛𝙩𝙚𝙧𝙣𝙤𝙤𝙣✨✨💝✨✨🌷✨,;D LUV MUZIK,7,85309,2827,13,142.0,1208,2020-01-11,00:00:13,36300.0
109,2020-04-06T14:02:54Z,노동요,;D LUV MUZIK,8,65954,2012,7,153.0,1374,2020-04-06,14:02:54,36300.0
110,2020-07-05T08:25:11Z,"음악은 내가 준비할게,,,",;D LUV MUZIK,11,58486,1920,7,178.0,1232,2020-07-05,08:25:11,36300.0
111,2019-01-07T14:57:53Z,재즈 인디알앤비 LOFI K-R&B ♩♪♬,;D LUV MUZIK,10,47890,1744,7,73.0,3302,2019-01-07,14:57:53,36300.0
112,2020-05-17T11:36:33Z,LAZzzy song,;D LUV MUZIK,9,44518,1544,4,132.0,1389,2020-05-17,11:36:33,36300.0
113,2020-06-22T15:52:18Z,Purple Shower Mix,;D LUV MUZIK,8,42219,1377,4,104.0,1229,2020-06-22,15:52:18,36300.0
114,2020-05-04T09:29:07Z,Y2K,;D LUV MUZIK,8,36430,1077,4,74.0,1303,2020-05-04,09:29:07,36300.0
115,2020-04-21T14:37:42Z,Sunset Mood Mix,;D LUV MUZIK,5,33173,869,7,71.0,1334,2020-04-21,14:37:42,36300.0
116,2020-04-03T15:00:30Z,jazzhiphop.,;D LUV MUZIK,6,29673,876,7,66.0,1238,2020-04-03,15:00:30,36300.0
117,2020-04-22T09:24:25Z,"난 슬플때 힙합을 춰,,, ዽ",;D LUV MUZIK,6,29163,749,4,75.0,1315,2020-04-22,09:24:25,36300.0
118,2020-01-10T14:01:47Z,✨✨⭐️✨✨🌙✨✨ 𝐬𝐥𝐞𝐞𝐩𝐢𝐧𝐠 𝐩𝐢𝐥𝐥 ✨🌟✨✨✨💫✨✨,;D LUV MUZIK,6,27630,821,2,56.0,1382,2020-01-10,14:01:47,36300.0
119,2018-10-15T16:30:56Z,Lost Tapes | Chill Mix,Alex Aero,6,6356006,92946,1764,809.0,2415,2018-10-15,16:30:56,69700.0
120,2019-05-03T15:03:42Z,Spring Chill Mix,Alex Aero,1,2912776,29978,493,293.0,2195,2019-05-03,15:03:42,69700.0
121,2018-11-20T16:00:00Z,Winter Chill Mix,Alex Aero,5,2139219,20512,437,224.0,2584,2018-11-20,16:00:00,69700.0
122,2019-08-27T15:32:57Z,Lost Tapes | Chill Mix Vol.2,Alex Aero,0,501640,6519,119,116.0,2545,2019-08-27,15:32:57,69700.0
123,2014-11-16T21:21:37Z,Music Mashup for Soda 3,Alex Aero,1,279258,1721,49,227.0,3540,2014-11-16,21:21:37,69700.0
124,2019-05-29T16:00:07Z,Summer Chill Mix 2K19,Alex Aero,8,148817,2277,53,75.0,3131,2019-05-29,16:00:07,69700.0
